$ C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\.venv\Scripts\python.exe -m tester.ftrun backtesting --config C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\config.tester.json --userdir C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\user_data --strategy IBSImbalanceStrategy --cache none --export trades --timerange 20211001-20221001 --pairs BTC/USDT:USDT --timeframe 3m --dry-run-wallet 40000000.0 --fee 0.0005 --timeframe-detail 1m --datadir C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\data\tester\binance
2026-09-10 14:38:45,063 - freqtrade - INFO - freqtrade 2026.8
2026-09-10 14:38:45,718 - freqtrade.configuration.load_config - INFO - Using config: C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\config.tester.json ...
2026-09-10 14:38:45,719 - freqtrade.loggers - INFO - Enabling colorized output.
2026-09-10 14:38:45,720 - freqtrade.loggers - INFO - Logfile configured
… (skrátené) …
2026-09-10 14:38:45,723 - freqtrade.exchange.check_exchange - WARNING - Exchange "tester" is known to the ccxt library, available for the bot, but not officially supported by the Freqtrade development
2026-09-10 14:38:45,753 - freqtrade.resolvers.iresolver - INFO - Using resolved strategy IBSImbalanceStrategy from 
'C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\user_data\strategies\IBSImbalanceStrategy.py'...
C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\user_data\strategies\IBSImbalanceStrategy.json
2026-09-10 14:38:45,770 - tradebot.adapters.freqtrade.base - WARNING - ibs config: engMinRangePoints, ewMinWavePoints, liqSweepMinWick, minImbSizePoints, pbMinRangePoints, srClusterPoints sú v 
2026-09-10 14:38:47,302 - freqtrade.optimize.backtesting - INFO - Running backtesting for Strategy IBSImbalanceStrategy
2026-09-10 14:38:57,652 - tradebot.strategies.ibs.freqtrade - INFO - IBS BTC/USDT:USDT: 175501 barov, 105421 HTF barov, 200 zon, 193 signalov (95 long / 98 short)
Result for strategy IBSImbalanceStrategy
│ IBSImbalanceStrategy │    143 │        -0.12 │       -9129.448 │        -0.02 │      3:46:00 │   33     0   110  23.1 │ 14031.601 USDT  0.04% │
…
├───────┼────────┼──────────────┼─────────────────┼──────────────┼──────────────┼────────────────────────┤
│ TOTAL │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│ ibs:1660068180000 │        session_end │      1 │        -0.17 │        -154.059 │         -0.0 │      1:42:00 │    0     0     1     0 │
│ ibs:1645459200000 │        session_end │      1 │        -1.55 │        -156.742 │         -0.0 │      4:45:00 │    0     0     1     0 │
│ ibs:1656515520000 │        session_end │      1 │        -0.27 │        -169.028 │         -0.0 │      4:33:00 │    0     0     1     0 │
│ ibs:1663009920000 │        session_end │      1 │        -0.12 │        -176.926 │         -0.0 │      0:33:00 │    0     0     1     0 │
│ ibs:1652712660000 │        session_end │      1 │        -1.01 │        -184.540 │         -0.0 │      4:54:00 │    0     0     1     0 │
│ ibs:1655221140000 │        session_end │      1 │        -1.46 │        -205.899 │         -0.0 │      4:06:00 │    0     0     1     0 │
│ ibs:1648654380000 │        session_end │      1 │         -0.3 │        -278.459 │         -0.0 │      4:12:00 │    0     0     1     0 │
│ ibs:1662656400000 │        session_end │      1 │        -0.84 │        -283.913 │         -0.0 │      2:45:00 │    0     0     1     0 │
│ ibs:1646754660000 │          stop_loss │      1 │        -1.99 │        -366.115 │         -0.0 │      2:07:00 │    0     0     1     0 │
│ ibs:1641549960000 │          stop_loss │      1 │        -2.11 │        -367.014 │         -0.0 │      3:29:00 │    0     0     1     0 │
│ ibs:1652349060000 │ trailing_stop_loss │      1 │        -2.03 │        -367.964 │         -0.0 │      0:49:00 │    0     0     1     0 │
│ ibs:1663057800000 │          stop_loss │      1 │        -1.95 │        -368.936 │         -0.0 │      2:47:00 │    0     0     1     0 │
│ ibs:1646384040000 │          stop_loss │      1 │        -1.82 │        -369.733 │         -0.0 │      5:51:00 │    0     0     1     0 │
│ ibs:1644572160000 │          stop_loss │      1 │        -1.51 │        -372.215 │         -0.0 │      9:04:00 │    0     0     1     0 │
│ ibs:1664435880000 │ trailing_stop_loss │      1 │        -1.42 │        -372.329 │         -0.0 │      9:22:00 │    0     0     1     0 │
│ ibs:1646647920000 │          stop_loss │      1 │        -1.57 │        -372.726 │         -0.0 │      9:18:00 │    0     0     1     0 │
│ ibs:1653403680000 │          stop_loss │      1 │        -1.52 │        -374.760 │         -0.0 │      0:54:00 │    0     0     1     0 │
│ ibs:1658133360000 │ trailing_stop_loss │      1 │         -1.5 │        -374.811 │         -0.0 │      7:17:00 │    0     0     1     0 │
│ ibs:1653638940000 │          stop_loss │      1 │        -1.45 │        -375.614 │         -0.0 │      6:51:00 │    0     0     1     0 │
│ ibs:1637919540000 │          stop_loss │      1 │        -1.33 │        -377.797 │         -0.0 │      1:09:00 │    0     0     1     0 │
│ ibs:1639996200000 │ trailing_stop_loss │      1 │        -1.21 │        -378.039 │         -0.0 │      6:20:00 │    0     0     1     0 │
│ ibs:1660207860000 │ trailing_stop_loss │      1 │        -1.28 │        -379.637 │         -0.0 │      3:36:00 │    0     0     1     0 │
│ ibs:1655977140000 │ trailing_stop_loss │      1 │        -1.27 │        -379.766 │         -0.0 │      0:16:00 │    0     0     1     0 │
│ ibs:1657613880000 │          stop_loss │      1 │        -1.26 │        -380.132 │         -0.0 │      4:02:00 │    0     0     1     0 │
│ ibs:1657119240000 │          stop_loss │      1 │         -1.1 │        -381.560 │         -0.0 │      2:03:00 │    0     0     1     0 │
│ ibs:1663228260000 │          stop_loss │      1 │        -1.25 │        -383.603 │         -0.0 │      6:40:00 │    0     0     1     0 │
│ ibs:1652947380000 │ trailing_stop_loss │      1 │         -1.1 │        -385.188 │         -0.0 │      3:43:00 │    0     0     1     0 │
│ ibs:1656344520000 │          stop_loss │      1 │        -1.14 │        -385.553 │         -0.0 │      2:22:00 │    0     0     1     0 │
│ ibs:1646641080000 │ trailing_stop_loss │      1 │        -1.06 │        -386.407 │         -0.0 │      0:41:00 │    0     0     1     0 │
│ ibs:1646988480000 │ trailing_stop_loss │      1 │        -1.02 │        -388.037 │         -0.0 │      2:33:00 │    0     0     1     0 │
│ ibs:1652778180000 │          stop_loss │      1 │        -0.97 │        -389.612 │         -0.0 │      2:29:00 │    0     0     1     0 │
│ ibs:1644832800000 │ trailing_stop_loss │      1 │        -0.97 │        -389.983 │         -0.0 │      2:38:00 │    0     0     1     0 │
│ ibs:1633943340000 │          stop_loss │      1 │        -0.97 │        -390.031 │         -0.0 │      4:26:00 │    0     0     1     0 │
│ ibs:1636627320000 │          stop_loss │      1 │        -0.95 │        -390.589 │         -0.0 │      1:29:00 │    0     0     1     0 │
│ ibs:1646040240000 │          stop_loss │      1 │        -0.96 │        -390.601 │         -0.0 │      4:49:00 │    0     0     1     0 │
│ ibs:1647426420000 │ trailing_stop_loss │      1 │        -0.95 │        -391.276 │         -0.0 │      3:30:00 │    0     0     1     0 │
│ ibs:1662019200000 │          stop_loss │      1 │        -0.94 │        -391.777 │         -0.0 │      3:34:00 │    0     0     1     0 │
│ ibs:1639732680000 │          stop_loss │      1 │        -0.91 │        -392.877 │         -0.0 │      4:43:00 │    0     0     1     0 │
│ ibs:1663602300000 │          stop_loss │      1 │        -0.91 │        -393.272 │         -0.0 │      1:45:00 │    0     0     1     0 │
│ ibs:1661159700000 │ trailing_stop_loss │      1 │        -0.91 │        -393.292 │         -0.0 │      4:37:00 │    0     0     1     0 │
│ ibs:1634224500000 │          stop_loss │      1 │        -1.04 │        -393.967 │         -0.0 │      3:09:00 │    0     0     1     0 │
│ ibs:1655973180000 │          stop_loss │      1 │        -0.89 │        -394.031 │         -0.0 │      0:46:00 │    0     0     1     0 │
│ ibs:1633447620000 │          stop_loss │      1 │        -0.88 │        -394.348 │         -0.0 │      2:53:00 │    0     0     1     0 │
│ ibs:1637833680000 │          stop_loss │      1 │        -0.85 │        -394.487 │         -0.0 │      0:16:00 │    0     0     1     0 │
│ ibs:1662134040000 │          stop_loss │      1 │        -0.85 │        -396.604 │         -0.0 │      0:40:00 │    0     0     1     0 │
│ ibs:1658761740000 │ trailing_stop_loss │      1 │        -0.81 │        -397.670 │         -0.0 │      1:58:00 │    0     0     1     0 │
│ ibs:1659082680000 │          stop_loss │      1 │        -0.79 │        -400.099 │         -0.0 │      3:09:00 │    0     0     1     0 │
│ ibs:1646303760000 │ trailing_stop_loss │      1 │        -0.79 │        -400.924 │         -0.0 │      0:07:00 │    0     0     1     0 │
│ ibs:1647248760000 │          stop_loss │      1 │        -0.77 │        -401.879 │         -0.0 │      0:46:00 │    0     0     1     0 │
│ ibs:1634576400000 │          stop_loss │      1 │        -0.76 │        -402.003 │         -0.0 │      2:07:00 │    0     0     1     0 │
│ ibs:1659605580000 │ trailing_stop_loss │      1 │        -0.77 │        -402.477 │         -0.0 │      4:06:00 │    0     0     1     0 │
│ ibs:1655368200000 │          stop_loss │      1 │        -0.75 │        -403.653 │         -0.0 │      0:32:00 │    0     0     1     0 │
│ ibs:1634633280000 │          stop_loss │      1 │        -0.74 │        -404.198 │         -0.0 │      5:35:00 │    0     0     1     0 │
│ ibs:1662625260000 │          stop_loss │      1 │        -0.74 │        -404.571 │         -0.0 │      4:47:00 │    0     0     1     0 │
│ ibs:1646123580000 │          stop_loss │      1 │        -0.73 │        -405.197 │         -0.0 │      0:55:00 │    0     0     1     0 │
│ ibs:1645810020000 │          stop_loss │      1 │        -0.72 │        -406.083 │         -0.0 │      0:24:00 │    0     0     1     0 │
│ ibs:1641457080000 │          stop_loss │      1 │        -0.72 │        -406.171 │         -0.0 │      0:45:00 │    0     0     1     0 │
│ ibs:1643793840000 │          stop_loss │      1 │        -0.72 │        -406.245 │         -0.0 │      5:05:00 │    0     0     1     0 │
│ ibs:1652432400000 │          stop_loss │      1 │        -0.76 │        -406.522 │         -0.0 │      7:27:00 │    0     0     1     0 │
│ ibs:1653469200000 │ trailing_stop_loss │      1 │        -0.62 │        -409.565 │         -0.0 │      8:59:00 │    0     0     1     0 │
│ ibs:1646735760000 │          stop_loss │      1 │        -0.67 │        -410.420 │         -0.0 │      2:02:00 │    0     0     1     0 │
│ ibs:1633593240000 │          stop_loss │      1 │        -0.87 │        -410.527 │         -0.0 │      1:10:00 │    0     0     1     0 │
│ ibs:1642412160000 │          stop_loss │      1 │        -0.67 │        -410.787 │         -0.0 │      2:28:00 │    0     0     1     0 │
│ ibs:1648198800000 │ trailing_stop_loss │      1 │        -0.67 │        -411.674 │         -0.0 │      1:53:00 │    0     0     1     0 │
│ ibs:1642669380000 │          stop_loss │      1 │        -0.66 │        -412.625 │         -0.0 │      1:55:00 │    0     0     1     0 │
│ ibs:1658912580000 │ trailing_stop_loss │      1 │         -0.6 │        -420.076 │         -0.0 │      4:48:00 │    0     0     1     0 │
│ ibs:1635348780000 │          stop_loss │      1 │         -0.7 │        -423.758 │         -0.0 │      0:36:00 │    0     0     1     0 │
│ ibs:1635841440000 │ trailing_stop_loss │      1 │        -0.57 │        -425.449 │         -0.0 │      1:06:00 │    0     0     1     0 │
│ ibs:1642155300000 │          stop_loss │      1 │        -0.56 │        -426.232 │         -0.0 │      4:29:00 │    0     0     1     0 │
│ ibs:1649062620000 │          stop_loss │      1 │        -0.52 │        -432.359 │         -0.0 │      0:05:00 │    0     0     1     0 │
│ ibs:1661846400000 │          stop_loss │      1 │        -0.51 │        -434.754 │         -0.0 │      2:43:00 │    0     0     1     0 │
│ ibs:1654762680000 │          stop_loss │      1 │         -0.5 │        -437.641 │         -0.0 │      3:34:00 │    0     0     1     0 │
│ ibs:1656491760000 │ trailing_stop_loss │      1 │        -0.49 │        -438.660 │         -0.0 │      0:49:00 │    0     0     1     0 │
│ ibs:1640079180000 │          stop_loss │      1 │        -0.49 │        -438.699 │         -0.0 │      5:58:00 │    0     0     1     0 │
│ ibs:1642066740000 │ trailing_stop_loss │      1 │        -0.49 │        -438.935 │         -0.0 │      0:26:00 │    0     0     1     0 │
│ ibs:1660640580000 │          stop_loss │      1 │        -0.49 │        -439.392 │         -0.0 │      3:43:00 │    0     0     1     0 │
│ ibs:1634721660000 │          stop_loss │      1 │        -0.49 │        -440.105 │         -0.0 │      2:57:00 │    0     0     1     0 │
│ ibs:1661799600000 │          stop_loss │      1 │        -0.49 │        -440.548 │         -0.0 │      0:22:00 │    0     0     1     0 │
│ ibs:1653901380000 │ trailing_stop_loss │      1 │        -0.48 │        -441.481 │         -0.0 │      3:08:00 │    0     0     1     0 │
│ ibs:1648111500000 │ trailing_stop_loss │      1 │        -0.48 │        -441.984 │         -0.0 │      5:58:00 │    0     0     1     0 │
│ ibs:1659601800000 │          stop_loss │      1 │        -0.47 │        -445.028 │         -0.0 │      0:04:00 │    0     0     1     0 │
│ ibs:1662457500000 │          stop_loss │      1 │        -0.47 │        -445.483 │         -0.0 │      1:36:00 │    0     0     1     0 │
│ ibs:1660289040000 │          stop_loss │      1 │        -0.47 │        -446.405 │         -0.0 │      2:44:00 │    0     0     1     0 │
│ ibs:1656405000000 │          stop_loss │      1 │        -0.46 │        -447.030 │         -0.0 │      0:12:00 │    0     0     1     0 │
│ ibs:1662103440000 │          stop_loss │      1 │        -0.46 │        -452.126 │         -0.0 │      3:44:00 │    0     0     1     0 │
│ ibs:1654162560000 │ trailing_stop_loss │      1 │        -0.44 │        -452.439 │         -0.0 │      1:03:00 │    0     0     1     0 │
│ ibs:1649756160000 │          stop_loss │      1 │        -0.44 │        -452.766 │         -0.0 │      4:40:00 │    0     0     1     0 │
│ ibs:1654849260000 │ trailing_stop_loss │      1 │        -0.44 │        -453.709 │         -0.0 │      4:01:00 │    0     0     1     0 │
│ ibs:1649236860000 │ trailing_stop_loss │      1 │        -0.43 │        -456.701 │         -0.0 │      1:02:00 │    0     0     1     0 │
│ ibs:1637571240000 │          stop_loss │      1 │        -0.42 │        -458.859 │         -0.0 │      0:59:00 │    0     0     1     0 │
│ ibs:1650016080000 │          stop_loss │      1 │        -0.41 │        -462.387 │         -0.0 │      4:04:00 │    0     0     1     0 │
│ ibs:1636103520000 │          stop_loss │      1 │         -0.4 │        -467.018 │         -0.0 │      0:14:00 │    0     0     1     0 │
│ ibs:1634031180000 │          stop_loss │      1 │         -0.4 │        -468.035 │         -0.0 │      0:13:00 │    0     0     1     0 │
│ ibs:1643965020000 │          stop_loss │      1 │        -0.38 │        -472.738 │         -0.0 │      1:31:00 │    0     0     1     0 │
│ ibs:1649842200000 │ trailing_stop_loss │      1 │        -0.38 │        -476.789 │         -0.0 │      4:11:00 │    0     0     1     0 │
│ ibs:1640196540000 │          stop_loss │      1 │        -0.37 │        -477.256 │         -0.0 │      0:27:00 │    0     0     1     0 │
│ ibs:1656318600000 │          stop_loss │      1 │        -0.37 │        -479.646 │         -0.0 │      0:04:00 │    0     0     1     0 │
│ ibs:1642501260000 │ trailing_stop_loss │      1 │        -0.35 │        -490.282 │         -0.0 │      0:09:00 │    0     0     1     0 │
│ ibs:1662369120000 │ trailing_stop_loss │      1 │        -0.34 │        -495.818 │         -0.0 │      0:35:00 │    0     0     1     0 │
│ ibs:1645181100000 │          stop_loss │      1 │        -0.34 │        -497.909 │         -0.0 │      0:15:00 │    0     0     1     0 │
│ ibs:1660665060000 │          stop_loss │      1 │        -0.32 │        -500.649 │         -0.0 │      2:14:00 │    0     0     1     0 │
│ ibs:1649145600000 │          stop_loss │      1 │        -0.29 │        -534.564 │         -0.0 │      4:10:00 │    0     0     1     0 │
│ ibs:1649320380000 │ trailing_stop_loss │      1 │        -0.26 │        -562.533 │         -0.0 │      2:32:00 │    0     0     1     0 │
│             TOTAL │                    │    143 │        -0.12 │       -9129.448 │        -0.02 │      3:46:00 │   33     0   110  23.1 │
└───────────────────┴────────────────────┴────────┴──────────────┴─────────────────┴──────────────┴──────────────┴────────────────────────┘
                                   SUMMARY METRICS                                    
┌────────────────────────────────────────┬───────────────────────────────────────────┐
│ Metric                                 │ Value                                     │
├────────────────────────────────────────┼───────────────────────────────────────────┤
│ Backtesting from                       │ 2021-10-01 00:00:00                       │
│ Backtesting to                         │ 2022-10-01 00:00:00                       │
│ Trading Mode                           │ Isolated Futures                          │
│ Max open trades                        │ 1                                         │
│                                        │                                           │
│ Total/Daily Avg Trades                 │ 143 / 0.39                                │
│ Starting balance                       │ 40000000 USDT                             │
│ Final balance                          │ 39990870.552 USDT                         │
│ Absolute profit                        │ -9129.448 USDT                            │
│ Total profit %                         │ -0.02%                                    │
│ CAGR %                                 │ -0.02%                                    │
│ Sharpe (closed trades)                 │ -0.73                                     │
│ Sortino (closed trades)                │ -4.60                                     │
│ Calmar (closed trades)                 │ -3.41                                     │
│ SQN                                    │ -1.15                                     │
│ Mean profit p-value                    │ 0.2503                                    │
│ Profit factor                          │ 0.78                                      │
│ Expectancy (Ratio)                     │ -63.84 (-0.17)                            │
│ Avg. daily profit                      │ -25.012 USDT                              │
│ Avg. stake amount                      │ 61988.845 USDT                            │
│ Market change                          │ -55.84%                                   │
│ Total trade volume                     │ 17739238.026 USDT                         │
│                                        │                                           │
│ Long / Short trades                    │ 70 / 73                                   │
│ Long / Short profit %                  │ -0.01% / -0.01%                           │
│ Long / Short profit USDT               │ -3726.707 / -5402.741                     │
│                                        │                                           │
│ Best Pair                              │ BTC/USDT:USDT -0.02%                      │
│ Worst Pair                             │ BTC/USDT:USDT -0.02%                      │
│ Best trade                             │ BTC/USDT:USDT 7.37%                       │
│ Worst trade                            │ BTC/USDT:USDT -2.11%                      │
│ Best day                               │ 1606.415 USDT                             │
│ Worst day                              │ -940.041 USDT                             │
│ Days win/draw/lose                     │ 30 / 237 / 97                             │
│ Min/Max/Avg. Duration Winners          │ 0d 00:27 / 0d 12:24 / 0d 06:15            │
│ Min/Max/Avg. Duration Losers           │ 0d 00:04 / 0d 10:45 / 0d 03:01            │
│ Max Consecutive Wins / Loss            │ 4 / 14                                    │
│ Rejected Entry signals                 │ 0                                         │
│ Entry/Exit Timeouts                    │ 41 / 0                                    │
│                                        │                                           │
│ Min/Max balance (closed trades)        │ 39989868.939 USDT / 40003900.54 USDT      │
│ Max % of account underwater            │ 0.04%                                     │
│ Absolute drawdown                      │ 14031.601 USDT (0.04%)                    │
│ Drawdown duration                      │ 200 days 14:32:00                         │
│ Profit at drawdown start               │ 3900.54 USDT                              │
│ Profit at drawdown end                 │ -10131.061 USDT                           │
│ Drawdown start                         │ 2022-02-24 20:48:00                       │
│ Drawdown end                           │ 2022-09-13 11:20:00                       │
│                                        │                                           │
│ Wallet based Metrics                   │                                           │
│ Min/Max balance (wallet balance)       │ 39989868.939 USDT / 40003900.54 USDT      │
│ Min/Max balance dates (wallet balance) │ 2022-09-13 11:21:00 / 2022-02-24 20:51:00 │
│ Max % of account underwater (balance)  │ 0.04%                                     │
│ Absolute drawdown (wallet balance)     │ 14031.601 USDT (0.04%)                    │
│ Drawdown duration                      │ 200 days 14:30:00                         │
│ Profit at drawdown start               │ 3900.54 USDT                              │
│ Profit at drawdown end                 │ -10131.061 USDT                           │
│ Drawdown start                         │ 2022-02-24 20:51:00                       │
│ Drawdown end                           │ 2022-09-13 11:21:00                       │
│ Sharpe (daily wallet balance)          │ -1.36                                     │
│ Sortino (daily wallet balance)         │ -3.53                                     │
│ Calmar (daily wallet balance)          │ -3.42                                     │
└────────────────────────────────────────┴───────────────────────────────────────────┘

Backtested 2021-10-01 00:00:00 -> 2022-10-01 00:00:00 | Max open trades : 1
                                                                STRATEGY SUMMARY                                                                 
┌──────────────────────┬────────┬──────────────┬─────────────────┬──────────────┬──────────────┬────────────────────────┬───────────────────────┐
│             Strategy │ Trades │ Avg Profit % │ Tot Profit USDT │ Tot Profit % │ Avg Duration │  Win  Draw  Loss  Win% │              Drawdown │
├──────────────────────┼────────┼──────────────┼─────────────────┼──────────────┼──────────────┼────────────────────────┼───────────────────────┤
│ IBSImbalanceStrategy │    143 │        -0.12 │       -9129.448 │        -0.02 │      3:46:00 │   33     0   110  23.1 │ 14031.601 USDT  0.04% │
└──────────────────────┴────────┴──────────────┴─────────────────┴──────────────┴──────────────┴────────────────────────┴───────────────────────┘
